PROJECT NO.,PROJECT TITLE,SECTOR,CATEGORY,ESTIMATE AMOUNT,,
21,PROCUREMENT OF OFFICE AND IT INFRASTRUCTURE FOR PFEZ,Institutional,Capacity Building and Systems Development,"PhP 2,500,000.00",,
22,MULTI-STAKEHOLDERS FORUM FOR PFEZ DEVELOPMENT,Institutional,Capacity Building and Systems Development,"PhP 10,000,000.00",,
23,MEMBERSHIP WITH NATIONAL AND INTERNATIONAL FREEPORT AND ECONOMIC ZONE ORGANIZATIONS,Institutional,Capacity Building and Systems Development,"PhP 300,000.00",,
24,FORMULATION AND ENACTMENT OF THE BEZA LAW AND ITS IMPLEMENTING RULES AND REGULATIONS (IRR),Institutional,Institutional and Legal Setup,PhP 0.00,,
25,CREATION OF AN IMPLEMENTING BODY FOR THE HALAL BOARD,Institutional,Institutional and Legal Setup,PhP 0.00,,
26,ORGANIZATION AUDIT OF PFEZ,Institutional,Institutional and Legal Setup,"PhP 4,000,000.00",,
27,FORMULATION OF AN ORGANIZATIONAL DEVELOPMENT PLAN FOR THE PFEZ,Institutional,Institutional and Legal Setup,"PhP 2,000,000.00",,
28,INSTITUTIONALIZATION OF THE CIVIL SERVICE COMMISSION (CSC) PERFORMANCE EVALUATION SYSTEM (OPCR AND IPCR),Institutional,Institutional and Legal Setup,PhP 0.00,,
29,PRIME-HRM SEAL OF EXCELLENCE CERTIFICATION,Institutional,Institutional and Legal Setup,PhP 0.00,,
30,DEVELOPMENT OF A MONITORING AND EVALUATION (M&E) SYSTEM FOR PFEZ,Institutional,Institutional and Legal Setup,"PhP 3,000,000.00",,
31,FORMULATION OF THE BEZA–PFEZ MANUAL OF OPERATIONS,Institutional,Institutional and Legal Setup,"PhP 1,000,000.00",,
32,ENHANCEMENT OF THE DRAFT FINANCIAL MANAGEMENT MANUAL OF THE PFEZ,Institutional,Institutional and Legal Setup,"PhP 500,000.00",,
33,ENHANCEMENT OF THE DRAFT CAPACITY BUILDING PLAN OF THE PFEZ,Institutional,Institutional and Legal Setup,"PhP 500,000.00",,
34,CITIZEN’S CHARTER FOR BEZA AND PFEZ,Institutional,Institutional and Legal Setup,PhP 0.00,,
35,PRODUCTION OF AN AUDIO-VISUAL PRESENTATION TO PROMOTE BEZA AND PFEZ,Institutional,Marketing and Investment Promotion,"PhP 1,500,000.00",,
36,MULTI-PARTY AGREEMENT FOR THE IMPLEMENTATION OF A HOUSING DEVELOPMENT PROGRAM IN SUPPORT OF PFEZ,Institutional,Social Infrastructure and Housing,"PhP 100,000.00",,
37,CONTINUOUS TRAINING OF EXISTING SECURITY PERSONNEL,Social,Safety and Security,"PhP 150,000.00",,
38,IEC ON INSURGENCY AWARENESS,Social,Safety and Security,"PhP 200,000.00",,
39,RESETTLEMENT HOUSING DEVELOPMENT PROGRAM,Social,Safety and Security,"PhP 40,000,000.00",,
40,ESTABLISHMENT OF A HALAL CERTIFICATION OFFICE,Economic,Halal and Investment Readiness,"PhP 1,500,000.00",,
41,HALAL COMPLIANCE TRAINING FOR LOCATORS,Economic,Halal and Investment Readiness,"PhP 300,000.00",,
42,PARTNERSHIP WITH HALAL CERTIFYING BODIES,Economic,Halal and Investment Readiness,"PhP 100,000.00",,
43,INCENTIVE PROGRAM FOR HALAL MANUFACTURING AND LOGISTICS BUSINESSES,Economic,Halal and Investment Readiness,"PhP 300,000.00",,
44,PARTNERSHIP WITH ORGANIZATION OF ISLAMIC COOPERATION MEMBER STATES,Economic,Halal and Investment Readiness,"PhP 600,000.00",,
45,SKILLS DEVELOPMENT PROGRAM,Economic,Human Development,"PhP 1,000,000.00",,
46,CREATION OF A JOB PLACEMENT AND MATCHING PORTAL,Economic,Human Development ,"PhP 500,000.00",,
47,PROVISION OF SCHOLARSHIPS AND TRAINING SUBSIDIES FOR THE VULNERABLE SECTOR,Economic,Human Development,"PhP 8,000,000",,
48,APPRENTICESHIP AND INTERNSHIP PROGRAM,Economic,Human Development,"PhP 100,000",,
49,POZ EXPANSION AREA DEVELOPMENT,Economic,Infrastructure and Utilities,"PhP 15,000,000",,
50,ESTABLISHMENT OF AN AIR QUALITY MONITORING SYSTEM IN POLLOC FREEPORT,Environmental,Environmental Management,"PhP 30,000,000.00",,
51,ESTABLISHMENT OF EARLY WARNING SYSTEMS,Environmental,Environmental Management,"PhP 12,000,000.00",,
52,CREATION OF AN INTEGRATED WASTE MANAGEMENT DATABASE,Environmental,Environmental Management,"PhP 1,500,000.00",,
53,DEVELOPMENT OF A RESIDUAL CONTAINMENT AREA,Environmental,Environmental Management,"PhP 5,000,000.00",,
54,DEVELOPMENT OF DRAINAGE NETWORK,Infrastructure,Infrastructure and Utilities,"PhP 20,000,000.00",,
55,CONSTRUCTION OF POWER SUBSTATION,Infrastructure,Infrastructure and Utilities,,,
56,DEVELOPMENT OF POWER DISTRIBUTION NETWORK,Infrastructure,Infrastructure and Utilities,"PhP 305,000,000.00",,
57,REHABILITATION AND EXPANSION OF WATER DISTRIBUTION SYSTEM,Infrastructure,Infrastructure and Utilities,"PhP 396,000,000.00",,
58,ESTABLISHMENT OF A WATER DESALINATION FACILITY,Infrastructure ,Infrastructure and Utilities,"PhP 80,000,000.00",,
59,CONSTRUCTION OF SEWAGE TREATMENT PLANTS,Infrastructure,Infrastructure and Utilities,"PhP 30,000,000.00",,
60,CONSTRUCTION OF NEW ADMINISTRATIVE BUILDINGS,Infrastructure,Infrastructure and Utilities,"PhP 596,000,000.00",,
61,ROAD AND PEDESTRIAN NETWORK DEVELOPMENT,Infrastructure,Infrastructure and Utilities,"PhP 441,270,00.00",,
62,ISO 9001:2015 CERTIFICATION OF THE PFEZ,Institutional,Capacity Building and Systems Development,"PhP 3,000,000.00",,
63,PROVISION OF A TOTAL PORT SECURITY MANAGEMENT SYSTEM FOR PFEZ,Institutional,Safety and Security,"PhP 15,000,000.00",,
64,PROCUREMENT OF PATROL BOATS FOR PFEZ MARITIME SECURITY,Institutional,Safety and Security,"PhP 4,000,000.00",,
65,FIREFIGHTING AND OIL SPILL RESPONSE SYSTEMS,Social,Environmental Management,"PhP 10,000,000.00",,
66,DISASTER RISK REDUCTION AND MANAGEMENT PROGRAM,Social,Environmental Management,"PhP 5,000,000.00",,
67,PORT SAFETY SIGNAGE AND HAZARD CONTROL PROJECT,Social,Environmental Management,"PhP 700,000.00",, 
68,LIVELIHOOD TRAINING AND ASSISTANCE PROGRAM,Social,Human Development,"PhP 2,500,000.00",, 
69,CONSTRUCTION OF LIVELIHOOD TRAINING FACILITIES,Social,Human Development,"PhP 6,000,000.00",,
70,MARITIME SAFETY TRAINING PROGRAM,Social,Human Development,"PhP 500,000.00",,
71,PORT SECURITY ENHANCEMENT PROJECT,Social,Safety and Security,"PhP 5,000,000.00",,
72,COMMERCIAL BUILDING DEVELOPMENT,Economic,Port and Logistics Infrastructure,"PhP 35,000,000.00",,
73,RORO PASSENGER TERMINAL IMPROVEMENT PROGRAM,Economic,Port and Logistics Infrastructure,"PhP 6,000,000.00",,
74,UPGRADING OF RORO PORT INFRASTRUCTURE AND UTILITIES,Economic,Port and Logistics Infrastructure,"PhP 10,000,000.00",,
75,ESTABLISHMENT OF PARKING SPACES IN COMMERCIAL AND MIXED-USE AREAS,Economic,Regional Trade and Connectivity,"PhP 4,000,000.00",,
76,CONSTRUCTION OF ECOTOURISM BOARDWALK AND MANGROVE VIEWING DECK,Economic,Tourism and Livelihood,"PhP 4,500,000.00",,
77,STREETLIGHTING PROJECTS,Infrastructure,Port and Logistics Infrastructure,"PhP 270,960,00.00",,
78,EXPANSION OF EXISTING WHARF,Infrastructure,Port and Logistics Infrastructure,"PhP 723,000,000.00",,
79,CONSTRUCTION OF ADDITIONAL WAREHOUSE FACILITIES,Infrastructure,Port and Logistics Infrastructure,"PhP 473,000,000.00",,
80,CONSTRUCTION OF SEAWALL,Infrastructure,Port and Logistics Infrastructure,"PhP 200,000,000.00",,
81,LAND RECLAMATION,Infrastructure,Port and Logistics Infrastructure,"PhP 1,086,000,000.00",,
82,CONSTRUCTION OF PUBLIC TRANSPORT TERMINAL,Infrastructure,Port and Logistics Infrastructure,"PhP 36,000,000.00",,
83,DEVELOPMENT OF AN INTERACTIVE PFEZ WEBSITE,Institutional,Institutional Strengthening,"PhP 1,200,000.00",,
84,PUBLIC–PRIVATE PARTNERSHIP (PPP) FOR THE ESTABLISHMENT OF NECESSARY PORT FACILITIES AT PFEZ,Institutional,Regional Trade and Connectivity,PhP 0.00,,
85,CONSTRUCTION OF STAFF HOUSING,Social,Social Infrastructure and Housing,"PhP 10,000,000.00",,
86,"CONSTRUCTION OF COMMUNITY FACILITIES (I.E., PRAYER AREA, COMMON AREAS)",Social,Social Infrastructure and Housing,"PhP 2,000,000.00",,
87,ESTABLISHMENT OF PFEZ COMMUNITY HEALTH CENTER,Social,Social Infrastructure and Housing,"PhP 6,000,000.00",,
88,ESTABLISHMENT OF AN IT PARK,Economic,Tourism and Livelihood,"PhP 59,000,000.00",,
89,ECOTOURISM DEVELOPMENT PROGRAM,Economic,Tourism and Livelihood,"PhP 2,500,000.00",,
90,FORMULATION OF A TOURISM MASTER PLAN,Economic,Tourism and Livelihood,"PhP 2,000,000.00",,
91,CREATION OF A TOURIST TRANSPORT HUB,Economic,Tourism and Livelihood,"PhP 3,500,000.00",,
92,TOURISM SKILLS TRAINING,Economic,Tourism and Livelihood,"PhP 600,000.00.00",,
93,POCKET PARKS AND GREEN SPACES DEVELOPMENT,Environmental,Urban Green and DRR-CCA Initiatives,"PhP 20,000,000.00",,
94,DESIGNATION AND DEVELOPMENT OF DISASTER ASSEMBLY AND REFUGE AREA (DARA),Environmental,Urban Green and DRR-CCA Initiatives,"PhP 50,000,000.00",,
95,ESTABLISHMENT OF BUFFER STRIPS/ZONES,Environmental,Urban Green and DRR-CCA Initiatives,"PhP 30,000,000.00",,
